rank,repair,human_review,abstain,high_stakes_review,direct_low_probability_abstain,high_stakes_criticality,exact_action_accuracy,unsafe_automation_rate,unsafe_execution_rate,severe_unsafe_execution_rate,appropriate_escalation_recall,safe_automation_coverage,over_escalation_rate,automation_rate,human_review_rate,abstention_rate,self_repair_rate,execute_rate,feasible,constraint_violation,selected
11,0.24,0.46,0.8,0.34,0.72,0.85,0.73875,0.38413685847589424,0.08303249097472924,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.1675,0.5645833333333333,0.1525,0.11541666666666667,True,0.0,False
12,0.24,0.5,0.72,0.34,0.68,0.85,0.7375,0.40536512667660207,0.08303249097472924,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.14375,0.5766666666666667,0.16416666666666666,0.11541666666666667,True,0.0,False
13,0.24,0.48,0.72,0.34,0.76,0.85,0.7370833333333333,0.39203675344563554,0.08303249097472924,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.1575,0.5704166666666667,0.15666666666666668,0.11541666666666667,True,0.0,False
14,0.24,0.46,0.76,0.34,0.76,0.85,0.7370833333333333,0.38413685847589424,0.08303249097472924,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.16833333333333333,0.56375,0.1525,0.11541666666666667,True,0.0,False
15,0.24,0.48,0.76,0.34,0.72,0.85,0.7366666666666667,0.39203675344563554,0.08303249097472924,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.16041666666666668,0.5675,0.15666666666666668,0.11541666666666667,True,0.0,False
16,0.24,0.46,0.72,0.38,0.68,0.85,0.73625,0.3988005997001499,0.08303249097472924,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.14541666666666667,0.5766666666666667,0.1625,0.11541666666666667,True,0.0,False
17,0.24,0.48,0.8,0.34,0.72,0.85,0.73625,0.39203675344563554,0.08303249097472924,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.16333333333333333,0.5645833333333333,0.15666666666666668,0.11541666666666667,True,0.0,False
18,0.24,0.46,0.8,0.34,0.76,0.85,0.73625,0.38413685847589424,0.08303249097472924,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.17166666666666666,0.5604166666666667,0.1525,0.11541666666666667,True,0.0,False
19,0.24,0.5,0.76,0.34,0.68,0.85,0.7358333333333333,0.40536512667660207,0.08303249097472924,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.14958333333333335,0.5708333333333333,0.16416666666666666,0.11541666666666667,True,0.0,False
20,0.24,0.5,0.8,0.34,0.68,0.85,0.7354166666666667,0.40536512667660207,0.08303249097472924,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.1525,0.5679166666666666,0.16416666666666666,0.11541666666666667,True,0.0,False
21,0.2,0.46,0.72,0.34,0.68,0.85,0.735,0.38413685847589424,0.06837606837606838,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.15541666666666668,0.5766666666666667,0.17041666666666666,0.0975,True,0.0,False
22,0.24,0.5,0.72,0.34,0.72,0.85,0.7345833333333334,0.40536512667660207,0.08303249097472924,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.14666666666666667,0.57375,0.16416666666666666,0.11541666666666667,True,0.0,False
23,0.24,0.46,0.76,0.38,0.68,0.85,0.7345833333333334,0.3988005997001499,0.08303249097472924,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.15125,0.5708333333333333,0.1625,0.11541666666666667,True,0.0,False
24,0.24,0.48,0.76,0.34,0.76,0.85,0.7345833333333334,0.39203675344563554,0.08303249097472924,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.16416666666666666,0.56375,0.15666666666666668,0.11541666666666667,True,0.0,False
25,0.24,0.46,0.8,0.38,0.68,0.85,0.7341666666666666,0.3988005997001499,0.08303249097472924,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.15416666666666667,0.5679166666666666,0.1625,0.11541666666666667,True,0.0,False
26,0.24,0.48,0.72,0.38,0.68,0.85,0.73375,0.40620384047267355,0.08303249097472924,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.14125,0.5766666666666667,0.16666666666666666,0.11541666666666667,True,0.0,False
27,0.24,0.48,0.8,0.34,0.76,0.85,0.73375,0.39203675344563554,0.08303249097472924,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.1675,0.5604166666666667,0.15666666666666668,0.11541666666666667,True,0.0,False
28,0.2,0.46,0.76,0.34,0.68,0.85,0.7333333333333333,0.38413685847589424,0.06837606837606838,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.16125,0.5708333333333333,0.17041666666666666,0.0975,True,0.0,False
29,0.24,0.46,0.72,0.38,0.72,0.85,0.7333333333333333,0.3988005997001499,0.08303249097472924,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.14833333333333334,0.57375,0.1625,0.11541666666666667,True,0.0,False
30,0.2,0.46,0.8,0.34,0.68,0.85,0.7329166666666667,0.38413685847589424,0.06837606837606838,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.16416666666666666,0.5679166666666666,0.17041666666666666,0.0975,True,0.0,False
31,0.24,0.5,0.72,0.34,0.76,0.85,0.7329166666666667,0.40536512667660207,0.08303249097472924,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.15,0.5704166666666667,0.16416666666666666,0.11541666666666667,True,0.0,False
32,0.2,0.48,0.72,0.34,0.68,0.85,0.7325,0.39203675344563554,0.06837606837606838,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.15125,0.5766666666666667,0.17458333333333334,0.0975,True,0.0,False
33,0.24,0.5,0.76,0.34,0.72,0.85,0.7325,0.40536512667660207,0.08303249097472924,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.15291666666666667,0.5675,0.16416666666666666,0.11541666666666667,True,0.0,False
34,0.2,0.46,0.72,0.34,0.72,0.85,0.7320833333333333,0.38413685847589424,0.06837606837606838,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.15833333333333333,0.57375,0.17041666666666666,0.0975,True,0.0,False
35,0.24,0.48,0.76,0.38,0.68,0.85,0.7320833333333333,0.40620384047267355,0.08303249097472924,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.14708333333333334,0.5708333333333333,0.16666666666666666,0.11541666666666667,True,0.0,False
36,0.24,0.5,0.8,0.34,0.72,0.85,0.7320833333333333,0.40536512667660207,0.08303249097472924,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.15583333333333332,0.5645833333333333,0.16416666666666666,0.11541666666666667,True,0.0,False
37,0.24,0.48,0.8,0.38,0.68,0.85,0.7316666666666667,0.40620384047267355,0.08303249097472924,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.15,0.5679166666666666,0.16666666666666666,0.11541666666666667,True,0.0,False
38,0.24,0.46,0.72,0.38,0.76,0.85,0.7316666666666667,0.3988005997001499,0.08303249097472924,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.15166666666666667,0.5704166666666667,0.1625,0.11541666666666667,True,0.0,False
39,0.24,0.46,0.76,0.38,0.72,0.85,0.73125,0.3988005997001499,0.08303249097472924,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.15458333333333332,0.5675,0.1625,0.11541666666666667,True,0.0,False
40,0.2,0.48,0.76,0.34,0.68,0.85,0.7308333333333333,0.39203675344563554,0.06837606837606838,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.15708333333333332,0.5708333333333333,0.17458333333333334,0.0975,True,0.0,False
41,0.24,0.48,0.72,0.38,0.72,0.85,0.7308333333333333,0.40620384047267355,0.08303249097472924,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.14416666666666667,0.57375,0.16666666666666666,0.11541666666666667,True,0.0,False
42,0.24,0.46,0.8,0.38,0.72,0.85,0.7308333333333333,0.3988005997001499,0.08303249097472924,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.1575,0.5645833333333333,0.1625,0.11541666666666667,True,0.0,False
43,0.2,0.48,0.8,0.34,0.68,0.85,0.7304166666666667,0.39203675344563554,0.06837606837606838,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.16,0.5679166666666666,0.17458333333333334,0.0975,True,0.0,False
44,0.2,0.46,0.72,0.34,0.76,0.85,0.7304166666666667,0.38413685847589424,0.06837606837606838,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.16166666666666665,0.5704166666666667,0.17041666666666666,0.0975,True,0.0,False
45,0.24,0.5,0.76,0.34,0.76,0.85,0.7304166666666667,0.40536512667660207,0.08303249097472924,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.15666666666666668,0.56375,0.16416666666666666,0.11541666666666667,True,0.0,False
46,0.2,0.46,0.76,0.34,0.72,0.85,0.73,0.38413685847589424,0.06837606837606838,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.16458333333333333,0.5675,0.17041666666666666,0.0975,True,0.0,False
47,0.2,0.48,0.72,0.34,0.72,0.85,0.7295833333333334,0.39203675344563554,0.06837606837606838,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.15416666666666667,0.57375,0.17458333333333334,0.0975,True,0.0,False
48,0.2,0.46,0.8,0.34,0.72,0.85,0.7295833333333334,0.38413685847589424,0.06837606837606838,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.1675,0.5645833333333333,0.17041666666666666,0.0975,True,0.0,False
49,0.24,0.5,0.8,0.34,0.76,0.85,0.7295833333333334,0.40536512667660207,0.08303249097472924,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.16,0.5604166666666667,0.16416666666666666,0.11541666666666667,True,0.0,False
50,0.24,0.48,0.72,0.38,0.76,0.85,0.7291666666666666,0.40620384047267355,0.08303249097472924,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.1475,0.5704166666666667,0.16666666666666666,0.11541666666666667,True,0.0,False
51,0.24,0.46,0.76,0.38,0.76,0.85,0.7291666666666666,0.3988005997001499,0.08303249097472924,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.15833333333333333,0.56375,0.1625,0.11541666666666667,True,0.0,False
52,0.24,0.48,0.76,0.38,0.72,0.85,0.72875,0.40620384047267355,0.08303249097472924,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.15041666666666667,0.5675,0.16666666666666666,0.11541666666666667,True,0.0,False
53,0.2,0.5,0.72,0.34,0.68,0.85,0.7283333333333334,0.40536512667660207,0.06837606837606838,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.14375,0.5766666666666667,0.18208333333333335,0.0975,True,0.0,False
54,0.24,0.48,0.8,0.38,0.72,0.85,0.7283333333333334,0.40620384047267355,0.08303249097472924,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.15333333333333332,0.5645833333333333,0.16666666666666666,0.11541666666666667,True,0.0,False
55,0.24,0.46,0.8,0.38,0.76,0.85,0.7283333333333334,0.3988005997001499,0.08303249097472924,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.16166666666666665,0.5604166666666667,0.1625,0.11541666666666667,True,0.0,False
56,0.2,0.48,0.72,0.34,0.76,0.85,0.7279166666666667,0.39203675344563554,0.06837606837606838,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.1575,0.5704166666666667,0.17458333333333334,0.0975,True,0.0,False
57,0.2,0.46,0.76,0.34,0.76,0.85,0.7279166666666667,0.38413685847589424,0.06837606837606838,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.16833333333333333,0.56375,0.17041666666666666,0.0975,True,0.0,False
58,0.2,0.48,0.76,0.34,0.72,0.85,0.7275,0.39203675344563554,0.06837606837606838,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.16041666666666668,0.5675,0.17458333333333334,0.0975,True,0.0,False
59,0.2,0.46,0.72,0.38,0.68,0.85,0.7270833333333333,0.3988005997001499,0.06837606837606838,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.14541666666666667,0.5766666666666667,0.18041666666666667,0.0975,True,0.0,False
60,0.2,0.48,0.8,0.34,0.72,0.85,0.7270833333333333,0.39203675344563554,0.06837606837606838,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.16333333333333333,0.5645833333333333,0.17458333333333334,0.0975,True,0.0,False
61,0.2,0.46,0.8,0.34,0.76,0.85,0.7270833333333333,0.38413685847589424,0.06837606837606838,0.0,0.8747464503042597,0.9252336448598131,0.07476635514018691,0.2679166666666667,0.17166666666666666,0.5604166666666667,0.17041666666666666,0.0975,True,0.0,False
62,0.2,0.5,0.76,0.34,0.68,0.85,0.7266666666666667,0.40536512667660207,0.06837606837606838,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.14958333333333335,0.5708333333333333,0.18208333333333335,0.0975,True,0.0,False
63,0.24,0.48,0.76,0.38,0.76,0.85,0.7266666666666667,0.40620384047267355,0.08303249097472924,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.15416666666666667,0.56375,0.16666666666666666,0.11541666666666667,True,0.0,False
64,0.2,0.5,0.8,0.34,0.68,0.85,0.72625,0.40536512667660207,0.06837606837606838,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.1525,0.5679166666666666,0.18208333333333335,0.0975,True,0.0,False
65,0.24,0.48,0.8,0.38,0.76,0.85,0.7258333333333333,0.40620384047267355,0.08303249097472924,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.1575,0.5604166666666667,0.16666666666666666,0.11541666666666667,True,0.0,False
66,0.2,0.5,0.72,0.34,0.72,0.85,0.7254166666666667,0.40536512667660207,0.06837606837606838,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.14666666666666667,0.57375,0.18208333333333335,0.0975,True,0.0,False
67,0.2,0.46,0.76,0.38,0.68,0.85,0.7254166666666667,0.3988005997001499,0.06837606837606838,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.15125,0.5708333333333333,0.18041666666666667,0.0975,True,0.0,False
68,0.2,0.48,0.76,0.34,0.76,0.85,0.7254166666666667,0.39203675344563554,0.06837606837606838,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.16416666666666666,0.56375,0.17458333333333334,0.0975,True,0.0,False
69,0.2,0.46,0.8,0.38,0.68,0.85,0.725,0.3988005997001499,0.06837606837606838,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.15416666666666667,0.5679166666666666,0.18041666666666667,0.0975,True,0.0,False
70,0.2,0.48,0.72,0.38,0.68,0.85,0.7245833333333334,0.40620384047267355,0.06837606837606838,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.14125,0.5766666666666667,0.18458333333333332,0.0975,True,0.0,False
71,0.2,0.48,0.8,0.34,0.76,0.85,0.7245833333333334,0.39203675344563554,0.06837606837606838,0.0,0.8701825557809331,0.927570093457944,0.07242990654205607,0.27208333333333334,0.1675,0.5604166666666667,0.17458333333333334,0.0975,True,0.0,False
72,0.2,0.46,0.72,0.38,0.72,0.85,0.7241666666666666,0.3988005997001499,0.06837606837606838,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.14833333333333334,0.57375,0.18041666666666667,0.0975,True,0.0,False
73,0.2,0.5,0.72,0.34,0.76,0.85,0.72375,0.40536512667660207,0.06837606837606838,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.15,0.5704166666666667,0.18208333333333335,0.0975,True,0.0,False
74,0.2,0.5,0.76,0.34,0.72,0.85,0.7233333333333334,0.40536512667660207,0.06837606837606838,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.15291666666666667,0.5675,0.18208333333333335,0.0975,True,0.0,False
75,0.2,0.48,0.76,0.38,0.68,0.85,0.7229166666666667,0.40620384047267355,0.06837606837606838,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.14708333333333334,0.5708333333333333,0.18458333333333332,0.0975,True,0.0,False
76,0.2,0.5,0.8,0.34,0.72,0.85,0.7229166666666667,0.40536512667660207,0.06837606837606838,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.15583333333333332,0.5645833333333333,0.18208333333333335,0.0975,True,0.0,False
77,0.2,0.48,0.8,0.38,0.68,0.85,0.7225,0.40620384047267355,0.06837606837606838,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.15,0.5679166666666666,0.18458333333333332,0.0975,True,0.0,False
78,0.2,0.46,0.72,0.38,0.76,0.85,0.7225,0.3988005997001499,0.06837606837606838,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.15166666666666667,0.5704166666666667,0.18041666666666667,0.0975,True,0.0,False
79,0.2,0.46,0.76,0.38,0.72,0.85,0.7220833333333333,0.3988005997001499,0.06837606837606838,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.15458333333333332,0.5675,0.18041666666666667,0.0975,True,0.0,False
80,0.2,0.48,0.72,0.38,0.72,0.85,0.7216666666666667,0.40620384047267355,0.06837606837606838,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.14416666666666667,0.57375,0.18458333333333332,0.0975,True,0.0,False
81,0.2,0.46,0.8,0.38,0.72,0.85,0.7216666666666667,0.3988005997001499,0.06837606837606838,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.1575,0.5645833333333333,0.18041666666666667,0.0975,True,0.0,False
82,0.2,0.5,0.76,0.34,0.76,0.85,0.72125,0.40536512667660207,0.06837606837606838,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.15666666666666668,0.56375,0.18208333333333335,0.0975,True,0.0,False
83,0.2,0.5,0.8,0.34,0.76,0.85,0.7204166666666667,0.40536512667660207,0.06837606837606838,0.0,0.8620689655172413,0.9322429906542056,0.06775700934579439,0.27958333333333335,0.16,0.5604166666666667,0.18208333333333335,0.0975,True,0.0,False
84,0.2,0.48,0.72,0.38,0.76,0.85,0.72,0.40620384047267355,0.06837606837606838,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.1475,0.5704166666666667,0.18458333333333332,0.0975,True,0.0,False
85,0.2,0.46,0.76,0.38,0.76,0.85,0.72,0.3988005997001499,0.06837606837606838,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.15833333333333333,0.56375,0.18041666666666667,0.0975,True,0.0,False
86,0.2,0.48,0.76,0.38,0.72,0.85,0.7195833333333334,0.40620384047267355,0.06837606837606838,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.15041666666666667,0.5675,0.18458333333333332,0.0975,True,0.0,False
87,0.2,0.48,0.8,0.38,0.72,0.85,0.7191666666666666,0.40620384047267355,0.06837606837606838,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.15333333333333332,0.5645833333333333,0.18458333333333332,0.0975,True,0.0,False
88,0.2,0.46,0.8,0.38,0.76,0.85,0.7191666666666666,0.3988005997001499,0.06837606837606838,0.0,0.8651115618661258,0.9369158878504673,0.0630841121495327,0.27791666666666665,0.16166666666666665,0.5604166666666667,0.18041666666666667,0.0975,True,0.0,False
89,0.2,0.48,0.76,0.38,0.76,0.85,0.7175,0.40620384047267355,0.06837606837606838,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.15416666666666667,0.56375,0.18458333333333332,0.0975,True,0.0,False
90,0.2,0.48,0.8,0.38,0.76,0.85,0.7166666666666667,0.40620384047267355,0.06837606837606838,0.0,0.8605476673427992,0.9392523364485982,0.06074766355140187,0.28208333333333335,0.1575,0.5604166666666667,0.18458333333333332,0.0975,True,0.0,False
91,0.24,0.52,0.72,0.34,0.68,0.85,0.7329166666666667,0.4163027656477438,0.08303249097472924,0.0,0.8549695740365112,0.9369158878504673,0.0630841121495327,0.28625,0.13708333333333333,0.5766666666666667,0.17083333333333334,0.11541666666666667,False,0.015091277890466381,False
92,0.24,0.52,0.76,0.34,0.68,0.85,0.73125,0.4163027656477438,0.08303249097472924,0.0,0.8549695740365112,0.9369158878504673,0.0630841121495327,0.28625,0.14291666666666666,0.5708333333333333,0.17083333333333334,0.11541666666666667,False,0.015091277890466381,False
93,0.24,0.52,0.8,0.34,0.68,0.85,0.7308333333333333,0.4163027656477438,0.08303249097472924,0.0,0.8549695740365112,0.9369158878504673,0.0630841121495327,0.28625,0.14583333333333334,0.5679166666666666,0.17083333333333334,0.11541666666666667,False,0.015091277890466381,False
94,0.2,0.52,0.72,0.34,0.68,0.85,0.72375,0.4163027656477438,0.06837606837606838,0.0,0.8549695740365112,0.9369158878504673,0.0630841121495327,0.28625,0.13708333333333333,0.5766666666666667,0.18875,0.0975,False,0.015091277890466381,False
95,0.2,0.52,0.76,0.34,0.68,0.85,0.7220833333333333,0.4163027656477438,0.06837606837606838,0.0,0.8549695740365112,0.9369158878504673,0.0630841121495327,0.28625,0.14291666666666666,0.5708333333333333,0.18875,0.0975,False,0.015091277890466381,False
96,0.2,0.52,0.8,0.34,0.68,0.85,0.7216666666666667,0.4163027656477438,0.06837606837606838,0.0,0.8549695740365112,0.9369158878504673,0.0630841121495327,0.28625,0.14583333333333334,0.5679166666666666,0.18875,0.0975,False,0.015091277890466381,False
97,0.24,0.52,0.72,0.34,0.72,0.85,0.73,0.4171511627906977,0.08303249097472924,0.0,0.8544624746450304,0.9369158878504673,0.0630841121495327,0.2866666666666667,0.13958333333333334,0.57375,0.17125,0.11541666666666667,False,0.016612576064908624,False
98,0.24,0.52,0.72,0.34,0.76,0.85,0.7283333333333334,0.4171511627906977,0.08303249097472924,0.0,0.8544624746450304,0.9369158878504673,0.0630841121495327,0.2866666666666667,0.14291666666666666,0.5704166666666667,0.17125,0.11541666666666667,False,0.016612576064908624,False
99,0.24,0.52,0.76,0.34,0.72,0.85,0.7279166666666667,0.4171511627906977,0.08303249097472924,0.0,0.8544624746450304,0.9369158878504673,0.0630841121495327,0.2866666666666667,0.14583333333333334,0.5675,0.17125,0.11541666666666667,False,0.016612576064908624,False
100,0.24,0.52,0.8,0.34,0.72,0.85,0.7275,0.4171511627906977,0.08303249097472924,0.0,0.8544624746450304,0.9369158878504673,0.0630841121495327,0.2866666666666667,0.14875,0.5645833333333333,0.17125,0.11541666666666667,False,0.016612576064908624,False
101,0.24,0.52,0.76,0.34,0.76,0.85,0.7258333333333333,0.4171511627906977,0.08303249097472924,0.0,0.8544624746450304,0.9369158878504673,0.0630841121495327,0.2866666666666667,0.14958333333333335,0.56375,0.17125,0.11541666666666667,False,0.016612576064908624,False
102,0.24,0.52,0.8,0.34,0.76,0.85,0.725,0.4171511627906977,0.08303249097472924,0.0,0.8544624746450304,0.9369158878504673,0.0630841121495327,0.2866666666666667,0.15291666666666667,0.5604166666666667,0.17125,0.11541666666666667,False,0.016612576064908624,False
103,0.2,0.52,0.72,0.34,0.72,0.85,0.7208333333333333,0.4171511627906977,0.06837606837606838,0.0,0.8544624746450304,0.9369158878504673,0.0630841121495327,0.2866666666666667,0.13958333333333334,0.57375,0.18916666666666668,0.0975,False,0.016612576064908624,False
104,0.2,0.52,0.72,0.34,0.76,0.85,0.7191666666666666,0.4171511627906977,0.06837606837606838,0.0,0.8544624746450304,0.9369158878504673,0.0630841121495327,0.2866666666666667,0.14291666666666666,0.5704166666666667,0.18916666666666668,0.0975,False,0.016612576064908624,False
